Pair,Condtion,Game,Time,Time2,Time3
7,modified,8,20767.0,1238411968333.0,1238411989100.0
7,modified,9,18767.0,1238411994333.0,1238412013100.0
7,modified,10,13958.0,1238412018142.0,1238412032100.0
7,modified,11,7499.0,1238412037500.0,1238412044999.0
7,modified,12,10767.0,1238412049333.0,1238412060100.0
7,modified,13,16850.0,1238412065250.0,1238412082100.0
7,modified,14,4767.0,1238412087333.0,1238412092100.0
7,modified,15,12000.0,1238412097100.0,1238412109100.0
7,modified,16,10975.0,1238412114125.0,1238412125100.0
7,modified,17,4833.0,1238412130166.0,1238412134999.0
7,modified,18,14767.0,1238412139333.0,1238412154100.0
7,modified,19,10900.0,1238412159200.0,1238412170100.0
7,modified,20,4874.0,1238412175125.0,1238412179999.0
7,modified,21,3767.0,1238412184333.0,1238412188100.0
7,modified,22,8850.0,1238412193250.0,1238412202100.0
7,modified,23,6934.0,1238412207166.0,1238412214100.0
7,modified,24,4600.0,1238412219500.0,1238412224100.0
7,modified,25,10989.0,1238412229111.0,1238412240100.0
7,modified,26,6767.0,1238412245333.0,1238412252100.0
7,modified,27,13000.0,1238412257100.0,1238412270100.0
7,modified,28,9000.0,1238412275100.0,1238412284100.0
7,modified,29,6874.0,1238412289125.0,1238412295999.0
7,modified,30,7000.0,1238412300100.0,1238412307100.0
7,modified,31,13000.0,1238412312100.0,1238412325100.0
7,modified,32,5767.0,1238412330333.0,1238412336100.0
7,modified,33,14767.0,1238412341333.0,1238412356100.0
7,modified,34,11850.0,1238412361250.0,1238412373100.0
7,modified,35,5900.0,1238412378200.0,1238412384100.0
7,modified,36,12600.0,1238412389500.0,1238412402100.0
7,modified,37,6934.0,1238412407166.0,1238412414100.0
7,modified,38,7850.0,1238412419250.0,1238412427100.0
7,modified,39,9899.0,1238412432100.0,1238412441999.0
7,modified,40,9749.0,1238412446250.0,1238412455999.0
7,modified,41,8850.0,1238412460250.0,1238412469100.0
7,modified,42,5600.0,1238412474500.0,1238412480100.0
7,modified,43,11767.0,1238412485333.0,1238412497100.0
7,modified,44,6666.0,1238412502333.0,1238412508999.0
7,modified,45,12850.0,1238412513250.0,1238412526100.0
7,modified,46,11900.0,1238412531200.0,1238412543100.0
7,modified,47,11934.0,1238412548166.0,1238412560100.0
7,modified,48,9958.0,1238412565142.0,1238412575100.0
7,modified,49,10958.0,1238412580142.0,1238412591100.0
7,modified,50,5850.0,1238412596250.0,1238412602100.0
7,modified,51,4600.0,1238412607500.0,1238412612100.0
7,modified,52,7975.0,1238412617125.0,1238412625100.0
7,modified,53,5767.0,1238412630333.0,1238412636100.0
7,modified,54,3958.0,1238412641142.0,1238412645100.0
7,modified,55,5934.0,1238412650166.0,1238412656100.0
7,modified,56,3975.0,1238412661125.0,1238412665100.0
7,modified,57,11833.0,1238412670166.0,1238412681999.0
7,modified,58,7767.0,1238412686333.0,1238412694100.0
7,modified,59,7000.0,1238412698100.0,1238412705100.0
7,modified,60,4958.0,1238412710142.0,1238412715100.0
7,modified,61,3934.0,1238412720166.0,1238412724100.0
7,modified,62,7850.0,1238412729250.0,1238412737100.0
7,modified,63,4600.0,1238412742500.0,1238412747100.0
7,modified,64,5499.0,1238412752500.0,1238412757999.0
7,modified,65,4975.0,1238412763125.0,1238412768100.0
7,modified,66,8975.0,1238412773125.0,1238412782100.0
7,modified,67,5767.0,1238412787333.0,1238412793100.0
7,modified,68,4958.0,1238412798142.0,1238412803100.0
7,modified,69,5975.0,1238412808125.0,1238412814100.0
7,modified,70,9850.0,1238412819250.0,1238412829100.0
7,modified,71,3975.0,1238412834125.0,1238412838100.0
7,modified,72,7900.0,1238412842200.0,1238412850100.0
7,modified,73,7900.0,1238412855200.0,1238412863100.0
7,modified,74,7975.0,1238412868125.0,1238412876100.0
7,modified,75,10666.0,1238412881333.0,1238412891999.0
7,modified,76,7850.0,1238412896250.0,1238412904100.0
7,modified,77,4900.0,1238412909200.0,1238412914100.0
7,modified,78,4600.0,1238412919500.0,1238412924100.0
7,modified,79,13975.0,1238412929125.0,1238412943100.0
7,modified,80,8000.0,1238412948100.0,1238412956100.0
8,normal,0,65975.0,1238420280125.0,1238420346100.0
8,normal,1,44934.0,1238420351166.0,1238420396100.0
8,normal,2,30975.0,1238420401125.0,1238420432100.0
8,normal,3,78600.0,1238420437500.0,1238420516100.0
8,normal,4,35900.0,1238420521200.0,1238420557100.0
8,normal,5,15857.0,1238420562142.0,1238420577999.0
8,normal,6,17000.0,1238420582100.0,1238420599100.0
