"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Xratio","Zratio"
2,"modified",74,0.00415918483259614,0.00142656056084503,0.00112107660640333,"matcher",0,"fear",0,0,27,0.0263233184814456,0.0502018183469773,1.90712346478514,0.524349901023666
2,"modified",75,0.210714211441792,0.250263386833373,0.0662579014509379,"director",1,"anger",0,0,27,2.07111976551823,3.28567388094962,1.58642389283919,0.630348549661795
3,"normal",1,0.0207097690940842,0.0453423326725938,0.0216718200100164,"matcher",0,"fear",0,0,28,0.234203461557625,0.255670160055159,1.09165833141305,0.916037528615376
3,"normal",2,0.122284098458888,0.130976990271628,0.0717271471746913,"director",1,"anger",1,1,28,6.04486809670925,8.2235803604126,1.36042345818752,0.73506524309151
3,"normal",3,0.0123566236201459,0.00254170188643923,0.0031331253724705,"matcher",0,"luck",0,0,28,0.0659762322902677,0.124865680932999,1.89258580853241,0.528377627842111
3,"normal",4,0.0995507825597947,0.171372022216584,0.139529224384563,"director",0,"fear",0,0,28,4.20201089978218,3.12584534287453,0.743892725989016,1.34427984716544
3,"normal",5,0.000874611120170664,0.00084506507953936,0.000570409928160715,"matcher",1,"fear",0,0,28,0.0412706658244145,0.0495448410511002,1.20048562487187,0.832996230260345
3,"normal",6,0.122165611696778,0.237696348498579,0.0679904293036659,"director",0,"death",1,0,28,0.600922994315625,1.16668158769608,1.94148268369191,0.515070264803191
3,"normal",7,0.00744198624257965,0.00598120108235839,0.0013267631428541,"matcher",0,"death",0,0,28,0.0379836857318882,0.106379061937333,2.80065138197016,0.357059792031857
3,"normal",8,0.121747625078083,0.118764499924417,0.0577030376874926,"director",1,"reality",1,1,28,1.45166021585464,3.35171350836754,2.3088829408983,0.433109874167521
3,"normal",9,0.0012635293520694,0.00116695065260594,0.000681620356120161,"matcher",0,"luck",0,0,28,0.0268458649516109,0.047034233808517,1.75201037080739,0.570772877068737
3,"normal",10,0.153530885114651,0.262578637563002,0.111596565009138,"director",0,"strength",1,0,28,2.74514979124069,4.27528339624405,1.5573953049432,0.642097736410264
3,"normal",11,0.0065187574406747,0.00153336128788564,0.00161502863577837,"matcher",0,"luxury",0,0,28,0.0370475649833692,0.0921775698661801,2.48808713629517,0.401915184324705
3,"normal",12,0.222960900041662,0.173559454212877,0.0710611576568804,"director",1,"war",1,1,28,1.61181475222111,5.10864435136318,3.16949844535384,0.315507332545279
3,"normal",13,0.00498175997414244,0.00251023956489023,0.00111149657781944,"matcher",1,"anger",0,0,28,0.0216600000858306,0.056188285350799,2.59410365319231,0.385489607853332
3,"normal",14,0.0966360822205427,0.200727453979356,0.0788599611729221,"director",0,"death",0,0,28,2.3902494632639,4.45853507518768,1.86530115107715,0.536106461641615
3,"normal",15,0.00482466968957056,0.00115128293124165,0.000784166539077201,"matcher",1,"reality",0,0,28,0.0334693044424057,0.0482124388217923,1.44049718465935,0.694204758363674
3,"normal",16,0.176960612645518,0.259875088498593,0.135652668226352,"director",0,"strength",0,0,28,3.13103890046477,2.85552041232586,0.912004131249211,1.09648626112061
3,"normal",17,0.026144142998626,0.0128370949490116,0.0155149088048745,"matcher",0,"envy",0,0,28,0.193216711282731,0.373067140579223,1.9308223295102,0.517914043522416
3,"normal",18,0.15298000375614,0.360719764134708,0.0734472743303175,"director",0,"freedom",1,0,28,1.71760850772262,4.84018809348345,2.817980972801,0.354864000024112
3,"normal",19,0.00201246981660094,0.000975650741441149,0.000564808050269334,"matcher",0,"freedom",0,0,28,0.0242170244455341,0.0662651658058156,2.73630503015971,0.365456332162512
