"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Zratio","Xratio"
15,"modified",21,0.0138748265997322,0.0082446975063446,0.00963115819994717,"matcher",1,"luck",0,0,15,0.0657919645309454,0.135112032294273,0.486943785936482,2.05362513883778
15,"modified",22,0.160855942746648,0.243481380163626,0.148396399050302,"director",1,"luxury",0,0,15,2.94629796873778,2.59947971999645,1.13341833216602,0.882286770577414
15,"modified",23,0.0162648807599793,0.00776544769333696,0.00960799961546277,"matcher",1,"war",0,0,15,0.122545719146728,0.267049223184585,0.458888131878309,2.17918035035429
15,"modified",24,0.140421738960733,0.16392468963325,0.0971821781456038,"director",1,"envy",0,0,15,7.16358739510179,10.070789501071,0.71132331723744,1.4058304792871
15,"modified",25,0.0898617251538526,0.0518377733138332,0.0240851616714379,"matcher",1,"war",0,0,15,0.105949968099594,0.270097315311432,0.392265906002917,2.54929114332094
15,"modified",26,0.14899491716125,0.209477904435295,0.115593403584706,"director",1,"reality",0,0,15,2.79851985513233,3.90767482668161,0.716159859572763,1.39633628809714
15,"modified",27,0.00324878183214231,0.00520529890642733,0.00438500521503801,"matcher",0,"luxury",0,0,15,0.0600863397121424,0.13980595767498,0.429783828324617,2.32675111089731
15,"modified",28,0.145796951614301,0.267826407816581,0.0829411712664083,"director",1,"freedom",0,0,15,0.527121608145535,0.878164052963257,0.600254139721192,1.66596102188397
15,"modified",29,0.0453523826820127,0.0048591924116548,0.0221506705855897,"matcher",1,"envy",0,0,15,0.208256661891937,0.310220927000046,0.671317257368349,1.48960865972689
15,"modified",30,0.272382783729319,0.266102984871192,0.103959944305867,"director",1,"luck",1,1,15,4.7121355459094,4.96661138534546,0.948762683509543,1.0540043547043
15,"modified",31,0.0372938623314002,0.0102132339579441,0.0183091985171416,"matcher",1,"anger",0,0,15,0.111873894929886,0.168082609772682,0.665588754727133,1.50242922960735
15,"modified",32,0.192585432096913,0.151427333140969,0.0484820305342408,"director",1,"fear",1,1,15,3.04869045317173,3.85482188826427,0.790877125206031,1.26441891936056
15,"modified",33,0.0118382768335215,0.00429075095496571,0.00284950455139493,"matcher",0,"luxury",0,0,15,0.0591627061367039,0.143905952572822,0.411120631766537,2.4323761026128
15,"modified",34,0.131058313791896,0.22880521203997,0.150948109802328,"director",1,"luxury",0,0,15,3.5469338670373,4.14436990022659,0.855843940678019,1.16843731955125
15,"modified",35,0.0317702519238855,0.00825748005616958,0.035249757459251,"matcher",1,"anger",0,0,15,0.146712213754654,0.20855924487114,0.703455815853674,1.42155339036675
15,"modified",36,0.15018112973657,0.257693334320659,0.174849776144387,"director",1,"luxury",0,0,15,4.38479912281036,4.95882178843021,0.884242126434319,1.1309119641613
15,"modified",37,0.0409175060147779,0.015092377038831,0.0309076503518724,"matcher",1,"strength",0,0,15,0.165514528751373,0.248151496052743,0.666989848476249,1.49927319326451
15,"modified",38,0.313077869179507,0.186284319124394,0.0487749213895929,"director",1,"death",0,0,15,2.75431397557259,7.16294798254967,0.384522403664333,2.60062870321841
15,"modified",39,0.0753492526877479,0.0250898109288667,0.0198568904692377,"matcher",1,"luxury",0,0,15,0.163211643695831,0.365824148058891,0.446147813264521,2.24140961867071
15,"modified",40,0.259482022459333,0.148105975009719,0.0526939903801627,"director",1,"envy",0,0,15,2.3002310693264,9.84103883802891,0.233738643570593,4.2782827209228
15,"modified",41,0.0813304966225406,0.0448242874834875,0.0690152783184824,"matcher",0,"fear",0,0,15,0.266482830047609,0.307812774553896,0.865730249284859,1.15509421188188
16,"modified",1,0.186475152613549,0.215607450972862,0.102829680584807,"director",0,"death",1,0,16,2.74783142277738,8.66479831933975,0.317125837383225,3.15332237906421
16,"modified",2,0.00110259827028838,0.000995289707055149,0.000839625129172357,"matcher",0,"luxury",0,0,16,0.0389398410916325,0.057615622878075,0.675855595174874,1.47960600924115
16,"modified",3,0.119149381959236,0.28695116028828,0.0364297185499614,"director",0,"envy",1,0,16,3.41524704638869,7.50381251052022,0.455134911966493,2.19715072104515
16,"modified",4,0.0133502696591584,0.0109002817039343,0.00538751653570938,"matcher",0,"envy",0,0,16,0.0648159235715873,0.145839326083661,0.444433784166046,2.25005396895387
16,"modified",5,0.154341067449626,0.367748250619305,0.0715122706527702,"director",0,"freedom",1,0,16,2.98969829920679,6.20758796483278,0.481619965136866,2.07632588428061
16,"modified",6,0.00113356264414708,0.00150734138152601,0.000773797213058994,"matcher",0,"envy",0,0,16,0.0413342714309686,0.0650274455547328,0.635643474510745,1.57320894510826
16,"modified",7,0.20198182630239,0.273277184252066,0.0219053042172916,"director",0,"death",0,0,16,0.908234395086766,2.36759163439274,0.383611084738318,2.60680684105402
16,"modified",8,0.00331733523441382,0.00815236653220098,0.00386381192500824,"matcher",0,"reality",0,0,16,0.0826897323131548,0.0942195504903785,0.877628176772069,1.13943470192356
16,"modified",9,0.15882540587998,0.246763683932017,0.0425215591122842,"director",1,"reality",1,1,16,1.24737032479607,4.98563969740644,0.250192633343512,3.99692023956202
16,"modified",10,0.00116118453674206,0.000618541065819694,0.000405525060423144,"matcher",0,"strength",0,0,16,0.0150119587779039,0.0237895920872691,0.631030524728398,1.58470939330615
16,"modified",11,0.101144666051739,0.230652225321894,0.0491805917589014,"director",1,"envy",0,0,16,1.61022606841288,3.00712875742465,0.535469611813997,1.86751960883891
16,"modified",12,0.0128443633987293,0.00562850416343093,0.000763843617114807,"matcher",1,"luck",0,0,16,0.018986932933331,0.0744936689734455,0.254879819922673,3.92341771232963
16,"modified",13,0.183957431917885,0.203665530611366,0.0268920136471143,"director",1,"anger",1,1,16,1.91588819772005,5.52528798207641,0.346749020853762,2.88393027769137
16,"modified",14,0.00927508321223969,0.00526069319763418,0.0118684645000584,"matcher",0,"anger",0,0,16,0.121157944202423,0.117604359984397,1.03021643260928,0.9706698207747
16,"modified",15,0.253212394098,0.255762536992894,0.0478365137206332,"director",1,"war",1,1,16,1.69415281992406,5.99983622133732,0.282366510922267,3.54149646405941
16,"modified",16,0.0224038589521566,0.0139306843576877,0.00806744228957799,"matcher",0,"luck",0,0,16,0.0455551892518994,0.0935083627700807,0.487177701569976,2.05263910227707
16,"modified",17,0.144295290257059,0.245639949895106,0.0279515992788621,"director",1,"death",0,0,16,0.518731694435701,1.47242631018162,0.352297219119724,2.83851232915966
16,"modified",18,0.0307211653190961,0.0108508734957814,0.00138057872676695,"matcher",0,"envy",0,0,16,0.0300738587975504,0.112382400780916,0.267602921708159,3.73687997730673
16,"modified",19,0.109492415286431,0.272627927508248,0.0388667084857789,"director",1,"reality",0,0,16,1.00085350871086,2.45193109661341,0.408189899827623,2.4498401367165
16,"modified",20,0.0192185360459153,0.0131603117651001,0.0022543848938513,"matcher",1,"fear",0,0,16,0.0619167461991312,0.150123950093984,0.412437496884198,2.42460980767899
16,"modified",21,0.291438638551943,0.205595681191228,0.0281370784968057,"director",1,"war",0,0,16,1.60853011859581,6.21721519529819,0.258721962819024,3.86515311303316
16,"modified",22,0.00355247348718356,0.00140203705707108,0.000587810272454924,"matcher",1,"strength",0,0,16,0.0128624960780148,0.026715964078903,0.481453562372921,2.07704351603785
16,"modified",23,0.188298582541297,0.295779979992424,0.0493958572225713,"director",1,"reality",0,0,16,1.79160722345114,6.82562352716923,0.262482572664562,3.80977674002741
16,"modified",24,0.00118453663557614,0.000762588666024343,0.000567450767780316,"matcher",1,"luxury",0,0,16,0.0182397216558458,0.0263520330190659,0.692156147597766,1.44476069954829
16,"modified",25,0.289315837517214,0.248674426217274,0.06808542158007,"director",0,"freedom",0,0,16,2.8935153153725,8.79098244011402,0.329145841785457,3.03816689457623
